10
0.0	59.74	63.4	71.89	70.84	46.79	55.61	62.41	60.39	73.0
62.55	0.0	60.28	60.03	56.87	59.53	54.89	72.68	72.89	56.7
60.66	55.22	0.0	69.96	55.76	54.2	66.71	53.98	61.49	67.86
52.86	51.55	65.49	0.0	67.85	60.97	64.5	57.43	64.69	48.98
46.07	71.46	68.51	47.31	0.0	73.91	72.67	65.78	71.13	65.2
56.84	63.51	58.25	61.37	48.82	0.0	62.18	65.7	61.56	71.53
62.46	48.2	62.26	60.17	61.01	54.8	0.0	60.24	66.4	63.62
55.13	49.42	65.86	55.01	63.46	69.27	61.86	0.0	64.35	69.5
55.64	69.04	73.71	63.73	56.98	72.46	63.19	63.4	0.0	52.09
52.58	47.47	60.25	63.31	66.58	52.66	48.14	69.6	64.24	0.0
